fcode,fname,incdate
002868.OF,鹏华丰茂,2016-06-28
002869.OF,融通通裕定期开放,2016-11-02
002870.OF,兴业增益五年,2016-06-17
002881.OF,中加丰润纯债A,2016-06-17
002898.OF,富国两年期理财A,2016-12-01
002904.OF,博时安仁一年定开A,2016-06-24
002909.OF,浙商惠享纯债,2016-06-20
002915.OF,鑫元裕利,2016-07-13
002927.OF,长盛盛和A,2016-07-05
002929.OF,博时聚盈纯债,2016-07-27
002930.OF,博时聚润纯债,2016-08-30
002948.OF,华安聚利18个月A,2016-08-09
002964.OF,国投瑞银顺鑫,2016-07-13
002970.OF,博时裕昂纯债,2016-07-15
002985.OF,中银季季红,2016-07-15
002991.OF,嘉实稳鑫,2016-07-15
002994.OF,招商招裕纯债A,2016-07-28
002996.OF,长信稳健纯债A,2016-12-13
002997.OF,工银瑞信瑞享,2016-08-25
003013.OF,中融恒泰纯债A,2016-12-27
003023.OF,博时景发纯债,2016-08-03
003024.OF,平安惠金定期开放A,2016-11-02
003039.OF,广发集富纯债A,2017-01-13
003041.OF,鑫元得利,2016-08-17
003050.OF,农银汇理金丰一年定期,2016-08-15
003051.OF,农银汇理金利一年定期,2016-11-02
003056.OF,嘉实稳泽纯债,2016-09-13
003065.OF,光大尊富18个月A,2017-09-27
003071.OF,中融睿祥A,2017-08-24
003073.OF,泰达宏利汇利A,2016-08-30
003078.OF,泰康安惠纯债A,2016-12-26
003099.OF,长盛盛景纯债A,2016-08-04
003102.OF,长盛盛裕纯债A,2016-08-04
003121.OF,中信保诚稳利A,2016-08-04
003123.OF,天治鑫利A,2016-12-07
003146.OF,融通通优,2016-08-09
003155.OF,中加丰尚纯债,2016-08-19
003156.OF,招商招悦纯债A,2016-08-24
003159.OF,万家恒瑞18个月A,2016-08-15
003162.OF,博时富宁纯债,2016-08-17
003163.OF,金鹰添益3个月定开,2016-08-19
003174.OF,前海联合添惠纯债A,2018-04-10
003179.OF,山西证券裕利,2016-08-24
003188.OF,博时聚源纯债,2017-02-09
